###############################################################################
# Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        FilterEff , CCD_QE , EffectiveArea_cm2
# Pixel scale: 0.90354
# Secondary obstruction : 15 %
# Notes: FAKE NIR effective area mapped from VIS shape, resampled to 640 rows
# Generated on: 2026-03-03
###############################################################################
Wavelength	Reflectivity	Dichroic_Eff	FilterEff	CCD_QE	EffectiveArea_cm2
14917.8404	0.9117	0.8159	0.8133	0.7950	175.9886
14933.0986	0.9115	0.8173	0.8131	0.7946	175.6829
14948.3568	0.9114	0.8187	0.8128	0.7942	175.3775
14963.6150	0.9113	0.8201	0.8126	0.7938	175.0725
14978.8732	0.9112	0.8214	0.8123	0.7935	174.7648
14994.1315	0.9110	0.8227	0.8120	0.7930	174.4306
15009.3897	0.9109	0.8240	0.8117	0.7926	174.0968
15024.6479	0.9107	0.8253	0.8115	0.7922	173.7634
15039.9061	0.9106	0.8266	0.8112	0.7918	173.4305
15055.1643	0.9105	0.8278	0.8109	0.7914	173.0981
15070.4225	0.9103	0.8290	0.8106	0.7910	172.7662
15085.6808	0.9102	0.8302	0.8104	0.7905	172.4347
15100.9390	0.9100	0.8314	0.8101	0.7901	172.1037
15116.1972	0.9099	0.8325	0.8098	0.7897	171.7731
15131.4554	0.9098	0.8336	0.8095	0.7893	171.4231
15146.7136	0.9096	0.8347	0.8092	0.7888	171.0688
15161.9718	0.9095	0.8357	0.8089	0.7884	170.7151
15177.2300	0.9093	0.8368	0.8086	0.7880	170.3618
15192.4883	0.9092	0.8377	0.8083	0.7875	170.0090
15207.7465	0.9090	0.8387	0.8080	0.7871	169.6568
15223.0047	0.9089	0.8396	0.8078	0.7866	169.3052
15238.2629	0.9087	0.8405	0.8074	0.7861	168.8858
15253.5211	0.9085	0.8413	0.8070	0.7855	168.4102
15268.7793	0.9083	0.8422	0.8066	0.7849	167.9356
15284.0376	0.9081	0.8429	0.8062	0.7843	167.4620
15299.2958	0.9079	0.8437	0.8058	0.7837	166.9895
15314.5540	0.9077	0.8444	0.8054	0.7831	166.5180
15329.8122	0.9075	0.8450	0.8050	0.7826	166.0475
15345.0704	0.9073	0.8456	0.8046	0.7820	165.5780
15360.3286	0.9071	0.8462	0.8043	0.7814	165.1096
15375.5869	0.9070	0.8468	0.8039	0.7809	164.6827
15390.8451	0.9067	0.8473	0.8034	0.7802	164.1396
15406.1033	0.9065	0.8477	0.8029	0.7794	163.5257
15421.3615	0.9062	0.8482	0.8024	0.7786	162.9131
15436.6197	0.9060	0.8485	0.8019	0.7779	162.3018
15451.8779	0.9057	0.8489	0.8014	0.7771	161.6918
15467.1362	0.9055	0.8492	0.8009	0.7764	161.0831
15482.3944	0.9055	0.8494	0.8010	0.7765	161.1969
15497.6526	0.9057	0.8496	0.8014	0.7771	161.6649
15512.9108	0.9059	0.8498	0.8018	0.7777	162.1311
15528.1690	0.9061	0.8499	0.8022	0.7782	162.5956
15543.4272	0.9063	0.8500	0.8025	0.7788	163.0583
15558.6854	0.9065	0.8500	0.8029	0.7794	163.5192
15573.9437	0.9066	0.8500	0.8032	0.7798	163.8235
15589.2019	0.9067	0.8499	0.8034	0.7801	164.0534
15604.4601	0.9068	0.8498	0.8036	0.7804	164.2820
15619.7183	0.9069	0.8497	0.8038	0.7806	164.5095
15634.9765	0.9070	0.8495	0.8039	0.7809	164.7110
15650.2347	0.9070	0.8493	0.8040	0.7811	164.8537
15665.4930	0.9071	0.8490	0.8041	0.7812	164.9724
15680.7512	0.9071	0.8487	0.8042	0.7814	165.0896
15696.0094	0.9071	0.8483	0.8042	0.7813	165.0584
15711.2676	0.9070	0.8479	0.8041	0.7811	164.8698
15726.5258	0.9070	0.8475	0.8039	0.7809	164.6810
15741.7840	0.9069	0.8470	0.8037	0.7806	164.4921
15757.0423	0.9068	0.8465	0.8036	0.7804	164.3029
15772.3005	0.9067	0.8459	0.8035	0.7802	164.1595
15787.5587	0.9067	0.8453	0.8034	0.7800	164.0276
15802.8169	0.9066	0.8447	0.8032	0.7799	163.8954
15818.0751	0.9066	0.8440	0.8031	0.7797	163.7629
15833.3333	0.9065	0.8433	0.8030	0.7795	163.6301
15848.5915	0.9065	0.8425	0.8029	0.7794	163.4970
15863.8498	0.9063	0.8418	0.8026	0.7789	163.1563
15879.1080	0.9061	0.8409	0.8023	0.7784	162.7547
15894.3662	0.9060	0.8401	0.8020	0.7779	162.3446
15909.6244	0.9058	0.8392	0.8016	0.7774	161.8877
15924.8826	0.9056	0.8382	0.8012	0.7768	161.4318
15940.1408	0.9054	0.8373	0.8008	0.7762	160.9768
15955.3991	0.9052	0.8363	0.8004	0.7757	160.5228
15970.6573	0.9050	0.8352	0.8001	0.7751	160.0699
15985.9155	0.9048	0.8342	0.7997	0.7745	159.6180
16001.1737	0.9046	0.8331	0.7993	0.7739	159.1475
16016.4319	0.9044	0.8320	0.7989	0.7733	158.6376
16031.6901	0.9042	0.8308	0.7984	0.7727	158.1290
16046.9484	0.9040	0.8296	0.7980	0.7720	157.6217
16062.2066	0.9038	0.8284	0.7976	0.7714	157.1155
16077.4648	0.9036	0.8272	0.7972	0.7708	156.6106
16092.7230	0.9034	0.8260	0.7968	0.7701	156.1070
16107.9812	0.9032	0.8247	0.7963	0.7695	155.6047
16123.2394	0.9029	0.8234	0.7959	0.7688	155.0605
16138.4977	0.9027	0.8221	0.7954	0.7681	154.5046
16153.7559	0.9025	0.8207	0.7950	0.7674	153.9502
16169.0141	0.9022	0.8194	0.7945	0.7667	153.3973
16184.2723	0.9020	0.8180	0.7940	0.7661	152.8459
16199.5305	0.9018	0.8166	0.7936	0.7654	152.2960
16214.7887	0.9016	0.8152	0.7931	0.7647	151.7475
16230.0469	0.9013	0.8138	0.7927	0.7640	151.2005
16245.3052	0.9011	0.8124	0.7922	0.7633	150.6551
16260.5634	0.9009	0.8110	0.7918	0.7627	150.1203
16275.8216	0.9007	0.8095	0.7913	0.7620	149.5875
16291.0798	0.9004	0.8081	0.7909	0.7613	149.0694
16306.3380	0.9002	0.8066	0.7905	0.7607	148.5912
16321.5962	0.9000	0.8052	0.7901	0.7601	148.0853
16336.8545	0.8998	0.8037	0.7896	0.7595	147.5771
16352.1127	0.8996	0.8022	0.7892	0.7588	147.0701
16367.3709	0.8994	0.8007	0.7888	0.7582	146.5642
16382.6291	0.8992	0.7993	0.7884	0.7576	146.0596
16397.8873	0.8990	0.7978	0.7880	0.7569	145.5561
16413.1455	0.8988	0.7963	0.7875	0.7563	145.0499
16428.4038	0.8985	0.7948	0.7871	0.7556	144.4703
16443.6620	0.8983	0.7934	0.7865	0.7548	143.8545
16458.9202	0.8980	0.7919	0.7860	0.7541	143.2408
16474.1784	0.8978	0.7905	0.7855	0.7533	142.6292
16489.4366	0.8975	0.7890	0.7850	0.7525	142.0197
16504.6948	0.8973	0.7876	0.7845	0.7518	141.4122
16519.9531	0.8970	0.7862	0.7840	0.7510	140.8068
16535.2113	0.8968	0.7848	0.7835	0.7503	140.2035
16550.4695	0.8965	0.7834	0.7830	0.7495	139.6034
16565.7277	0.8963	0.7820	0.7825	0.7488	139.0508
16580.9859	0.8960	0.7806	0.7821	0.7481	138.5015
16596.2441	0.8958	0.7793	0.7816	0.7474	137.9539
16611.5023	0.8956	0.7779	0.7812	0.7468	137.4079
16626.7606	0.8954	0.7766	0.7807	0.7461	136.8635
16642.0188	0.8951	0.7753	0.7803	0.7454	136.3207
16657.2770	0.8949	0.7740	0.7798	0.7448	135.8110
16672.5352	0.8947	0.7728	0.7794	0.7442	135.3336
16687.7934	0.8945	0.7716	0.7790	0.7436	134.8575
16703.0516	0.8943	0.7704	0.7787	0.7430	134.3826
16718.3099	0.8941	0.7692	0.7783	0.7424	133.9090
16733.5681	0.8939	0.7680	0.7779	0.7418	133.4367
16748.8263	0.8937	0.7669	0.7775	0.7412	132.9657
16764.0845	0.8935	0.7658	0.7771	0.7406	132.4960
16779.3427	0.8933	0.7648	0.7767	0.7400	132.0275
16794.6009	0.8931	0.7637	0.7763	0.7394	131.5357
16809.8592	0.8929	0.7627	0.7759	0.7388	131.0361
16825.1174	0.8927	0.7618	0.7754	0.7382	130.5380
16840.3756	0.8925	0.7608	0.7750	0.7376	130.0413
16855.6338	0.8923	0.7599	0.7746	0.7369	129.5048
16870.8920	0.8921	0.7591	0.7741	0.7362	128.9658
16886.1502	0.8918	0.7582	0.7737	0.7355	128.4285
16901.4085	0.8916	0.7575	0.7732	0.7349	127.8928
16916.6667	0.8914	0.7567	0.7728	0.7342	127.3588
16931.9249	0.8912	0.7560	0.7724	0.7335	126.8265
16947.1831	0.8910	0.7553	0.7719	0.7329	126.2959
16962.4413	0.8907	0.7547	0.7715	0.7322	125.7670
16977.6995	0.8905	0.7541	0.7710	0.7315	125.2397
16992.9577	0.8903	0.7535	0.7706	0.7309	124.7141
17008.2160	0.8901	0.7530	0.7702	0.7302	124.1982
17023.4742	0.8899	0.7525	0.7698	0.7296	123.7155
17038.7324	0.8897	0.7521	0.7694	0.7290	123.2344
17053.9906	0.8895	0.7517	0.7690	0.7284	122.7546
17069.2488	0.8893	0.7513	0.7686	0.7278	122.2763
17084.5070	0.8891	0.7510	0.7682	0.7272	121.7807
17099.7653	0.8889	0.7507	0.7677	0.7266	121.2637
17115.0235	0.8886	0.7505	0.7673	0.7259	120.7484
17130.2817	0.8884	0.7503	0.7669	0.7253	120.2350
17145.5399	0.8882	0.7502	0.7664	0.7247	119.7233
17160.7981	0.8880	0.7501	0.7660	0.7240	119.2289
17176.0563	0.8878	0.7500	0.7656	0.7234	118.7411
17191.3146	0.8876	0.7500	0.7652	0.7228	118.2549
17206.5728	0.8874	0.7500	0.7648	0.7222	117.7703
17221.8310	0.8872	0.7501	0.7644	0.7216	117.3199
17237.0892	0.8870	0.7502	0.7641	0.7211	116.8784
17252.3474	0.8868	0.7504	0.7637	0.7205	116.4381
17267.6056	0.8867	0.7506	0.7633	0.7200	115.9971
17282.8638	0.8865	0.7508	0.7630	0.7194	115.5493
17298.1221	0.8863	0.7511	0.7626	0.7189	115.1029
17313.3803	0.8861	0.7515	0.7622	0.7183	114.6517
17328.6385	0.8859	0.7518	0.7618	0.7177	114.1943
17343.8967	0.8857	0.7523	0.7614	0.7172	113.7383
17359.1549	0.8855	0.7527	0.7611	0.7166	113.2837
17374.4131	0.8853	0.7532	0.7607	0.7160	112.8304
17389.6714	0.8852	0.7538	0.7603	0.7155	112.3785
17404.9296	0.8850	0.7544	0.7599	0.7149	111.9279
17420.1878	0.8848	0.7550	0.7596	0.7143	111.4757
17435.4460	0.8846	0.7556	0.7592	0.7138	111.0027
17450.7042	0.8844	0.7563	0.7588	0.7132	110.5312
17465.9624	0.8842	0.7571	0.7584	0.7126	110.0613
17481.2207	0.8840	0.7578	0.7580	0.7120	109.5929
17496.4789	0.8838	0.7587	0.7576	0.7114	109.1260
17511.7371	0.8836	0.7595	0.7572	0.7108	108.6606
17526.9953	0.8834	0.7604	0.7568	0.7102	108.1968
17542.2535	0.8832	0.7613	0.7564	0.7097	107.7344
17557.5117	0.8830	0.7623	0.7561	0.7091	107.2735
17572.7700	0.8829	0.7632	0.7557	0.7086	106.8679
17588.0282	0.8827	0.7643	0.7554	0.7081	106.4890
17603.2864	0.8825	0.7653	0.7551	0.7076	106.1111
17618.5446	0.8824	0.7664	0.7548	0.7072	105.7341
17633.8028	0.8822	0.7675	0.7545	0.7067	105.3582
17649.0610	0.8821	0.7686	0.7542	0.7062	104.9831
17664.3192	0.8819	0.7698	0.7538	0.7058	104.6091
17679.5775	0.8818	0.7710	0.7535	0.7053	104.2360
17694.8357	0.8816	0.7722	0.7532	0.7048	103.8639
17710.0939	0.8815	0.7734	0.7529	0.7044	103.4927
17725.3521	0.8813	0.7747	0.7526	0.7039	103.1225
17740.6103	0.8812	0.7760	0.7523	0.7035	102.7720
17755.8685	0.8810	0.7773	0.7521	0.7031	102.4723
17771.1268	0.8809	0.7786	0.7518	0.7027	102.1555
17786.3850	0.8808	0.7799	0.7516	0.7023	101.8790
17801.6432	0.8807	0.7813	0.7515	0.7022	101.7577
17816.9014	0.8807	0.7827	0.7514	0.7020	101.6364
17832.1596	0.8806	0.7841	0.7513	0.7019	101.5151
17847.4178	0.8806	0.7855	0.7512	0.7017	101.3937
17862.6761	0.8805	0.7869	0.7511	0.7016	101.2724
17877.9343	0.8805	0.7883	0.7509	0.7014	101.1296
17893.1925	0.8804	0.7897	0.7508	0.7012	100.9745
17908.4507	0.8803	0.7912	0.7507	0.7010	100.8195
17923.7089	0.8803	0.7927	0.7506	0.7008	100.6697
17938.9671	0.8802	0.7941	0.7504	0.7007	100.5284
17954.2254	0.8802	0.7956	0.7503	0.7005	100.3872
17969.4836	0.8801	0.7971	0.7502	0.7003	100.2460
17984.7418	0.8800	0.7985	0.7501	0.7001	100.1050
18000.0000	0.8800	0.8000	0.7500	0.7000	100.0000
